fold,seed,feature_set,loss,split,best_epoch,n_params,minutes,n,mae,rmse,huber,pred_std,actual_std,prediction_bias,pearson,pearson_p,spearman,spearman_p,directional_accuracy,n_above_cost,directional_accuracy_above_cost,calibration_slope,calibration_intercept,baseline_zero_mae,baseline_zero_rmse,rmse_vs_zero_ratio,r2_vs_zero,decile_spread,decile_spearman
3,0,F2,huber,val,4,740167,36.85,21800,0.010073501973439565,0.01576582488565665,8.180310446587256e-05,0.0017985553966804518,0.015714777956083253,0.00038047665110560946,0.03135759683323741,3.6431384459772316e-06,0.055187532271179035,3.518232977408483e-16,0.5174311926605505,11748,0.5307286346612189,0.2739852619386718,-0.0005292510134646516,0.010029459491182465,0.01572567755349212,1.0025529794839023,-0.005112476672049837,0.0019851888646371663,0.5757575757575757
3,0,F2,huber,test,4,740167,36.85,22040,0.0107197725686044,0.01624035649894985,8.968615517877153e-05,0.0017327326336549153,0.016171025110071388,-6.423976089045918e-05,0.013550344732330993,0.04425732246813775,0.021451972053396207,0.0014479464948329267,0.5027223230490018,11419,0.5046851738330852,0.1264609211257505,-7.134949708475575e-05,0.010632552991470937,0.016171281031712705,1.004271490125098,-0.008561225878085166,0.0004911401920253411,0.6848484848484848
3,1,F2,huber,val,5,740167,41.44,21800,0.010164898445856716,0.015839748656967013,8.258110384605797e-05,0.0022428165732859048,0.015714777956083253,-0.0004853703765948346,0.018760187301251854,0.005605743223369901,0.054351382157567185,9.718630076266597e-16,0.5171100917431193,14512,0.5274944873208379,0.131447297726083,-0.000444646527623615,0.010029459491182465,0.01572567755349212,1.0072538116775491,-0.014560241138951158,0.0014445552951656282,0.6969696969696969
3,1,F2,huber,test,5,740167,41.44,22040,0.010808985240299792,0.016296623982466382,9.049480260547986e-05,0.0022489914077194525,0.016171025110071388,-0.0009760147452809555,0.026570620237915225,7.976210360541524e-05,0.035463654063012516,1.3924052975776275e-07,0.5033575317604355,14577,0.5080606434794539,0.19105193802994616,0.00011287258909948581,0.010632552991470937,0.016171281031712705,1.007750959896614,-0.015561997172546915,0.001377529464662075,0.8666666666666665
3,2,F2,huber,val,4,740167,36.84,21800,0.01013926652940093,0.01579554790811281,8.224791213070919e-05,0.0019397722282365989,0.015714777956083253,-0.00024274870539515295,0.020938752093623735,0.001989928540331898,0.04542226663642409,1.9516449841533113e-11,0.513302752293578,13369,0.521504974194031,0.16963220477071164,-0.0004449158676028288,0.010029459491182465,0.01572567755349212,1.0044430743529504,-0.008905889615606455,0.0009150101977866143,0.6484848484848483
3,2,F2,huber,test,4,740167,36.84,22040,0.010744255548118578,0.01625429793403208,8.981913085914646e-05,0.0019046973658236033,0.016171025110071388,-0.000685229113399768,0.02268216789786102,0.0007582318917433765,0.0358999526090435,9.763142240017441e-08,0.5087568058076225,13114,0.5057190788470337,0.19257332593021245,5.8498343520429626e-05,0.010632552991470937,0.016171281031712705,1.0051336008666585,-0.010293555591174952,0.0018201820203103125,0.41818181818181815
3,3,F2,huber,val,5,740167,41.44,21800,0.010156891379147139,0.01583994023395084,8.249296952335813e-05,0.0024849820946710325,0.015714777956083253,0.0007892438678494511,0.03647263488702588,7.180166664848305e-08,0.05595306282972168,1.3694217819059454e-16,0.5128899082568807,14230,0.5178496134926213,0.23064929117679764,-0.000632413254904572,0.010029459491182465,0.01572567755349212,1.007265994108683,-0.014584782887753,0.002969400375150144,0.16363636363636364
3,3,F2,huber,test,5,740167,41.44,22040,0.010804630893123486,0.016321995116188464,9.056842682302662e-05,0.002469525978458372,0.016171025110071388,0.0003390704061886949,0.016377406799008863,0.015040829223446824,0.01760790767712357,0.008946224159018547,0.49587114337568056,14155,0.4994701518897916,0.10724303323585807,-0.0001175846707827582,0.010632552991470937,0.016171281031712705,1.009319860571355,-0.018726580943779547,0.0010019561013905331,0.16363636363636364
3,4,F2,huber,val,3,740167,32.24,21800,0.010139132439261789,0.015827496836238897,8.24014062496266e-05,0.002262249162949412,0.015714777956083253,0.0008347069376078595,0.03177285264046677,2.7038709656990153e-06,0.0560987640163566,1.1426620909175352e-16,0.518302752293578,13729,0.5253113846602083,0.2207110217803422,-0.0006404215590196018,0.010029459491182465,0.01572567755349212,1.0064747151529994,-0.012991352242311072,0.0020339442417025566,0.7575757575757575
3,4,F2,huber,test,3,740167,32.24,22040,0.010804892973976724,0.016264221126945966,9.045836949069373e-05,0.002304034258896163,0.016171025110071388,0.0004237119953235273,0.03308323769233462,8.989388140862756e-07,0.021581287450056354,0.0013547489496480909,0.503130671506352,14060,0.5036273115220483,0.2321970106909395,-0.00016823825930034703,0.010632552991470937,0.016171281031712705,1.0057472314686142,-0.011527493606781958,0.002421940938802436,0.28484848484848485
4,0,F2,huber,val,3,740167,34.41,22040,0.010754403468937296,0.016349217094843924,9.038311727688888e-05,0.002041076767624181,0.01617102511092372,0.001080235075058791,-0.006997819147084089,0.2988785646820077,0.017229399301237267,0.01053064209911035,0.5047186932849365,13605,0.5087835354649026,-0.05544226015610402,-3.6131945016553594e-05,0.010632552993548414,0.0161712810326475,1.0110032137736769,-0.022127498260702927,-0.0002448400482535362,-0.1515151515151515
