blend,fold,n,pearson,spearman,decile_spread,top_decile_net,r2_vs_zero
ols_nn:momentum_raw,4,22040,0.10157385172065013,0.11878455242782839,0.007843588654777012,0.004108388285834029,0.002358609601674444
zsum:ridge_lags,4,22040,0.09852145315413417,0.10234542271327936,0.007443152525554882,0.0050895774963931216,
ols:ridge_lags,4,22040,0.08412453221803151,0.08584514293115844,0.006323550470199796,0.004423033521171989,0.004988404309815397
ols_nn:ridge_lags,4,22040,0.08412453221803151,0.08584514293115844,0.006323550470199796,0.004423033521171989,0.004988404309815397
zsum:ridge_last,4,22040,0.1011631465369926,0.098282883665935,0.006942862347525488,0.004965083228118889,
ols:ridge_last,4,22040,0.0984591125896413,0.09467541952169507,0.006618199474957681,0.004756490786617874,0.004493302915498543
ols_nn:ridge_last,4,22040,0.0984591125896413,0.09467541952169507,0.006618199474957681,0.004756490786617874,0.004493302915498543
ols_all,4,22040,0.03548365355811939,0.030526715933251725,0.0012156283533302802,0.0024565027025789813,-0.0020101601985265116
ols_all_nn,4,22040,0.06953630649990286,0.07213519636025574,0.0028806946357540116,0.002900538035580524,0.0006484011943999057
ols_all_no_patchtst,4,22040,0.044484368760486045,0.043269713033717426,0.002009726870169032,0.002735446362491363,-0.0003751946000312145
patchtst,5,21560,0.08069782371927688,0.0983118786159258,0.00601127518227574,-0.0004797512185120234,0.00481622547907723
gbm_lags,5,21560,0.054916360691728845,0.05760957550390096,0.0031769321324549536,0.00036856744100518114,-0.0013212267745792428
gbm_last,5,21560,0.07873353693970034,0.06197162014270377,0.0039012024371812624,0.0008141232195290964,0.003030547675936801
momentum_ols,5,21560,-0.013693392878595095,-0.008027646067934085,-0.0014659519934269363,-0.0018974223408787356,-0.0014101676962132714
momentum_raw,5,21560,0.013693394830336473,0.008027646067934085,0.0014659519934269363,-0.0004314703474517993,-0.8710333984767424
ridge_lags,5,21560,0.07074105214771563,0.0419062633603389,0.005642499539464353,0.0014219187899621193,0.003721640858245445
ridge_last,5,21560,0.033622240690175734,0.0251555798078666,0.0005273013511364408,-0.001610109069845501,0.0005537299661224626
zsum:gbm_lags,5,21560,0.08121063115173084,0.10453213817018946,0.004761758413436625,0.00010744245468610964,
ols:gbm_lags,5,21560,0.08490517881039952,0.10724721852732769,0.005937914508906037,-0.0003459253816274966,0.0029642324070237036
ols_nn:gbm_lags,5,21560,0.08490517881039952,0.10724721852732769,0.005937914508906037,-0.0003459253816274966,0.0029642324070237036
zsum:gbm_last,5,21560,0.09964186977424626,0.11433443135680905,0.0059208771903512215,0.0006928700328819994,
ols:gbm_last,5,21560,0.09786419798106967,0.11523041309183485,0.006716819446727454,0.0006043167577286822,0.005091504728830798
ols_nn:gbm_last,5,21560,0.09786419798106967,0.11523041309183485,0.006716819446727454,0.0006043167577286822,0.005091504728830798
zsum:momentum_ols,5,21560,0.044782688137929905,0.06705521713968095,0.0029046865868070488,-0.0004079827525127565,
ols:momentum_ols,5,21560,0.0793559909737898,0.09729463426872298,0.005823345092284836,-0.0002578651652735788,0.002415828346529869
ols_nn:momentum_ols,5,21560,0.0793559909737898,0.09729463426872298,0.005823345092284836,-0.0002578651652735788,0.002415828346529869
zsum:momentum_raw,5,21560,0.07469184017321324,0.07852261105165594,0.006722661413609388,0.0009451000581064655,
ols:momentum_raw,5,21560,0.07935599045394186,0.09729463051610829,0.005823345092284836,-0.0002578651652735788,0.002415828239257789
ols_nn:momentum_raw,5,21560,0.08069782371927689,0.0983118786159258,0.00601127518227574,-0.0004797512185120234,0.0027093928728630923
zsum:ridge_lags,5,21560,0.08917121142816187,0.08744993474357393,0.007655943341574054,0.00046732366447002627,
ols:ridge_lags,5,21560,0.08947714468010304,0.08929124110056498,0.007646220797956724,0.0005264009737556087,0.004473263140327921
ols_nn:ridge_lags,5,21560,0.08947714468010304,0.08929124110056498,0.007646220797956724,0.0005264009737556087,0.004473263140327921
zsum:ridge_last,5,21560,0.0736893349404176,0.09110418347206038,0.005497273852307345,0.0010668531079974749,
ols:ridge_last,5,21560,0.07604407072377783,0.09437715150068367,0.005695629640540709,0.0009974929188172972,0.0011644911793835533
ols_nn:ridge_last,5,21560,0.07604407072377783,0.09437715150068367,0.005695629640540709,0.0009974929188172972,0.0011644911793835533
ols_all,5,21560,0.10726247814895498,0.10977497217443194,0.008438740801775127,0.0021145573296476733,0.007810317860544647
ols_all_nn,5,21560,0.09613442735265991,0.10720607208966784,0.00669568458780441,0.0008461604881856084,0.0022174775974125316
ols_all_no_patchtst,5,21560,0.0936595393985914,0.07036815354298738,0.006654228156515177,0.0017719881958281104,0.0048371730282407155
